total,text,img,nodenum,concat
0.1475,0.008,0.1349,0.002,0.0
0.1542,0.006,0.1452,0.001,0.0
0.1723,0.007,0.1613,0.001,0.0
0.1383,0.005,0.1288,0.002,0.0
0.119,0.0061,0.1078,0.002,0.0
0.1555,0.01,0.1395,0.002,0.0
0.151,0.007,0.139,0.001,0.001
0.1565,0.011,0.1373,0.0032,0.0
0.1882,0.007,0.1762,0.002,0.0
0.1685,0.01,0.1525,0.002,0.001
0.143,0.005,0.133,0.001,0.001
0.1644,0.008,0.1524,0.001,0.0
0.1495,0.006,0.1405,0.0,0.001
0.1579,0.005,0.1479,0.002,0.0
0.1377,0.007,0.1257,0.002,0.0
0.1347,0.007,0.1215,0.003,0.0
0.1662,0.0065,0.1556,0.001,0.0
0.1379,0.0065,0.1285,0.001,0.001
0.1723,0.005,0.1628,0.001,0.0
0.1525,0.006,0.1435,0.001,0.0
0.1357,0.005,0.1267,0.002,0.0
0.1575,0.009,0.1435,0.002,0.0
0.1751,0.008,0.1605,0.001,0.0015
0.127,0.005,0.117,0.001,0.001
0.1129,0.007,0.1008,0.002,0.0
0.1627,0.0063,0.1523,0.002,0.0
0.1645,0.005,0.1555,0.002,0.0
0.1335,0.006,0.1235,0.001,0.0
0.1393,0.006,0.1299,0.002,0.0
0.1575,0.006,0.1455,0.002,0.001
0.1495,0.007,0.1385,0.001,0.001
0.1287,0.0051,0.1193,0.002,0.0
0.1546,0.0069,0.1416,0.002,0.0
0.146,0.004,0.139,0.001,0.0
0.1399,0.006,0.1299,0.001,0.0
0.1332,0.006,0.1221,0.001,0.001
0.1456,0.006,0.1346,0.002,0.0
0.1395,0.005,0.1305,0.001,0.0
0.1407,0.005,0.1317,0.002,0.0
0.1421,0.0075,0.1286,0.002,0.0
0.147,0.0065,0.1365,0.002,0.0
0.135,0.005,0.125,0.002,0.0
0.1663,0.0127,0.1466,0.002,0.0
0.1413,0.005,0.133,0.001,0.0
0.1535,0.007,0.1408,0.0027,0.0
0.157,0.0069,0.1451,0.002,0.0
0.157,0.0065,0.1455,0.002,0.0
0.157,0.0055,0.1465,0.001,0.001
0.1251,0.005,0.1171,0.001,0.0
0.1622,0.006,0.1522,0.002,0.0
0.157,0.005,0.1471,0.002,0.0
0.1494,0.012,0.1304,0.002,0.001
0.1785,0.008,0.1665,0.002,0.0
0.132,0.005,0.123,0.001,0.001
0.143,0.006,0.132,0.002,0.0
0.1454,0.005,0.1374,0.001,0.0
0.1641,0.007,0.1495,0.0025,0.001
0.1567,0.005,0.1483,0.001,0.0
0.145,0.007,0.133,0.002,0.0
0.1437,0.004,0.1357,0.002,0.0
0.1486,0.0066,0.136,0.002,0.0
0.1383,0.01,0.1203,0.002,0.001
0.1681,0.006,0.1581,0.001,0.001
0.1412,0.009,0.1262,0.002,0.0
0.1435,0.007,0.1315,0.002,0.0
0.1543,0.007,0.1423,0.002,0.0
0.1711,0.007,0.1601,0.002,0.0
0.1472,0.0065,0.1355,0.0016,0.0005
0.159,0.0065,0.1475,0.002,0.0
0.1555,0.007,0.1445,0.002,0.0
0.1351,0.011,0.1201,0.002,0.0
0.1479,0.0114,0.1316,0.002,0.0
0.1901,0.0115,0.1725,0.002,0.001
0.153,0.006,0.143,0.001,0.0
0.1216,0.008,0.1085,0.0016,0.0005
0.1721,0.014,0.1481,0.004,0.001
0.1624,0.005,0.1514,0.002,0.0
0.1544,0.007,0.1434,0.001,0.0
0.1539,0.0113,0.1346,0.003,0.001
0.1388,0.006,0.1284,0.001,0.001
0.1486,0.006,0.1391,0.002,0.0
0.164,0.0086,0.1478,0.002,0.001
0.1421,0.006,0.1311,0.001,0.001
0.146,0.004,0.1385,0.001,0.001
0.1399,0.006,0.1303,0.002,0.0
0.1785,0.01,0.1605,0.002,0.001
0.148,0.005,0.139,0.001,0.0
0.1245,0.006,0.1155,0.001,0.0
0.1214,0.006,0.1113,0.0016,0.0005
0.158,0.009,0.142,0.002,0.001
0.153,0.004,0.145,0.001,0.0
0.15,0.0065,0.1385,0.002,0.0
0.144,0.0035,0.1355,0.001,0.001
0.1448,0.006,0.1338,0.001,0.0
0.1583,0.007,0.1473,0.001,0.001
0.1479,0.0086,0.1335,0.0026,0.0
0.1417,0.0075,0.1292,0.002,0.0
0.1568,0.008,0.1448,0.001,0.001
0.1616,0.0074,0.1501,0.001,0.001
0.1581,0.008,0.144,0.002,0.0
0.1365,0.006,0.1255,0.002,0.0
0.1339,0.006,0.1219,0.002,0.0
0.1593,0.0122,0.1404,0.0027,0.0
0.1325,0.01,0.1175,0.002,0.0
0.1385,0.008,0.1255,0.002,0.0
0.1523,0.0075,0.1417,0.001,0.0
0.158,0.007,0.146,0.001,0.001
0.133,0.008,0.12,0.002,0.0
0.1501,0.013,0.129,0.002,0.001
0.1517,0.006,0.1403,0.001,0.0015
0.1362,0.0063,0.1249,0.002,0.0
0.1713,0.0089,0.1554,0.003,0.0
0.1364,0.009,0.1204,0.003,0.0
0.1524,0.005,0.1434,0.002,0.0
0.121,0.006,0.1115,0.001,0.0
0.1619,0.008,0.1489,0.002,0.0
0.1555,0.006,0.1455,0.002,0.0
0.1625,0.0071,0.1493,0.002,0.0
0.1357,0.006,0.1247,0.002,0.0
0.153,0.0065,0.1435,0.001,0.0
0.1565,0.008,0.1435,0.002,0.0
0.147,0.007,0.1349,0.002,0.0
0.1445,0.007,0.1325,0.001,0.001
0.1355,0.007,0.1225,0.002,0.0
0.1471,0.005,0.1381,0.001,0.001
0.1108,0.006,0.1008,0.002,0.0
0.1395,0.008,0.1265,0.002,0.0
0.1256,0.009,0.1085,0.002,0.001
0.1651,0.008,0.1511,0.002,0.001
0.1568,0.006,0.1468,0.001,0.001
0.135,0.0065,0.1235,0.001,0.001
0.1585,0.006,0.1475,0.002,0.0
0.1451,0.008,0.1311,0.002,0.0
0.1516,0.0054,0.1421,0.002,0.0
0.1889,0.008,0.1749,0.002,0.001
0.148,0.006,0.137,0.001,0.001
0.1302,0.005,0.1212,0.001,0.0
0.1459,0.0042,0.1363,0.001,0.001
0.1445,0.008,0.1315,0.002,0.001
0.148,0.014,0.1251,0.003,0.0
0.142,0.006,0.133,0.001,0.0
0.154,0.005,0.144,0.002,0.001
0.1544,0.007,0.1424,0.002,0.0
0.1452,0.009,0.1307,0.002,0.0
0.1559,0.0095,0.1403,0.002,0.0
0.1718,0.008,0.1588,0.002,0.0
0.1605,0.0074,0.1481,0.002,0.0
0.1491,0.009,0.1331,0.002,0.0
0.1513,0.007,0.139,0.0024,0.0
0.135,0.005,0.126,0.002,0.0
0.1621,0.008,0.1471,0.002,0.001
0.1426,0.007,0.1296,0.001,0.001
0.1558,0.0063,0.1443,0.0026,0.0
0.1696,0.005,0.1596,0.002,0.0
0.1619,0.0105,0.1443,0.002,0.001
0.1467,0.009,0.1307,0.003,0.0
0.1333,0.0063,0.123,0.002,0.0
0.1415,0.005,0.1325,0.002,0.0
0.1473,0.006,0.1363,0.002,0.0
0.1526,0.009,0.1376,0.002,0.001
0.1471,0.0073,0.1358,0.001,0.0
0.1551,0.007,0.142,0.002,0.0
0.1451,0.006,0.1361,0.001,0.0
0.126,0.007,0.114,0.002,0.0
0.1467,0.005,0.1373,0.002,0.0
0.153,0.0072,0.1408,0.002,0.0
0.1624,0.0065,0.1507,0.001,0.0
0.1496,0.007,0.1376,0.002,0.0
0.1426,0.0045,0.133,0.001,0.001
0.1345,0.005,0.1255,0.002,0.0
0.1295,0.006,0.1195,0.002,0.0
0.1437,0.007,0.1337,0.001,0.0
0.1716,0.008,0.158,0.002,0.0
0.1458,0.006,0.1338,0.002,0.0
0.1281,0.007,0.1171,0.002,0.0
0.1443,0.005,0.1343,0.002,0.0
0.1431,0.0071,0.131,0.001,0.0
0.1485,0.004,0.1395,0.002,0.0
0.147,0.006,0.137,0.001,0.001
0.149,0.006,0.137,0.001,0.001
0.1399,0.007,0.1282,0.0021,0.0005
0.1626,0.009,0.1486,0.002,0.0
0.1394,0.011,0.1218,0.001,0.0015
0.1484,0.012,0.1294,0.003,0.0
0.162,0.011,0.144,0.003,0.0
0.1582,0.013,0.1368,0.003,0.0
0.1402,0.009,0.1272,0.002,0.0
0.1774,0.0072,0.165,0.0016,0.0005
0.1699,0.0103,0.1526,0.003,0.0
0.2165,0.008,0.2032,0.0033,0.0
0.2155,0.029,0.173,0.0033,0.0013
0.163,0.006,0.1527,0.0013,0.0
0.135,0.0065,0.1229,0.0025,0.0
0.1422,0.0065,0.1308,0.002,0.0
0.1311,0.0065,0.1215,0.002,0.0
0.1299,0.0046,0.1223,0.001,0.0
0.1382,0.0045,0.1307,0.001,0.001
0.1029,0.006,0.0909,0.002,0.0
0.1006,0.006,0.0906,0.001,0.0
0.1325,0.0041,0.1244,0.0009,0.0011
0.1055,0.006,0.0955,0.001,0.0
0.1145,0.004,0.1075,0.001,0.0
0.1262,0.0074,0.1158,0.001,0.0
0.1166,0.008,0.105,0.001,0.0
0.1146,0.005,0.104,0.001,0.0
0.1391,0.0051,0.1301,0.001,0.001
0.1073,0.005,0.0984,0.001,0.0
0.1026,0.004,0.0957,0.001,0.0
0.1006,0.003,0.0946,0.001,0.0
0.1114,0.006,0.1024,0.001,0.0
0.1065,0.004,0.0995,0.001,0.001
0.1116,0.0052,0.1025,0.001,0.0
0.1181,0.005,0.1094,0.0014,0.0014
0.1031,0.0064,0.0928,0.001,0.001
0.1207,0.007,0.1097,0.001,0.0
0.1251,0.011,0.1081,0.002,0.0
0.1241,0.006,0.1151,0.001,0.0
0.1278,0.0063,0.1175,0.002,0.0
0.1205,0.006,0.1097,0.0019,0.0
0.1017,0.005,0.093,0.0016,0.0
0.1115,0.007,0.1005,0.001,0.001
0.11,0.008,0.0975,0.001,0.001
0.1035,0.003,0.0975,0.002,0.0
0.1229,0.0065,0.112,0.001,0.0
0.1373,0.0062,0.1272,0.001,0.001
0.1285,0.007,0.1165,0.002,0.0
0.1231,0.0061,0.114,0.001,0.0
0.1067,0.0075,0.0942,0.001,0.001
0.1334,0.005,0.1234,0.002,0.0
0.1231,0.005,0.1151,0.001,0.0
0.1099,0.004,0.1039,0.0,0.001
0.1112,0.0041,0.1031,0.001,0.0
0.1056,0.0065,0.0946,0.002,0.0
0.1256,0.004,0.1166,0.002,0.0
0.1188,0.005,0.1108,0.001,0.0
0.1116,0.006,0.1026,0.001,0.001
0.1133,0.006,0.1034,0.001,0.001
0.1086,0.0059,0.1007,0.001,0.0
0.1125,0.008,0.0985,0.002,0.0
0.1145,0.005,0.1065,0.001,0.0
0.1191,0.008,0.106,0.002,0.0
0.1075,0.003,0.1005,0.001,0.0
0.0907,0.006,0.0815,0.0012,0.0
0.1085,0.004,0.1025,0.001,0.0
0.1116,0.006,0.1016,0.0011,0.0
0.1115,0.007,0.0996,0.001,0.0
